collect.....= UnicornPy_2020.01.07.1
device......= UN-2019.05.51
samplerate..= 250.000
channels....= 16
date........= 2020-01-09T13:29:30.525524
filename....= recordeddata
FZ, C3, CZ, C4, PZ, O1, OZ, O2, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, Battery, Sample
-3828.318,-3836.096,-3832.341,-3846.288,-3834.308,-3836.364,-3839.315,-3836.185,0.001,1.021,0.083,-0.580,1.862,0.397,66.667,91.000
-3828.496,-3835.470,-3832.162,-3846.378,-3834.219,-3836.543,-3838.957,-3835.917,0.002,1.019,0.085,-0.610,1.831,0.336,66.667,92.000
-3828.496,-3835.291,-3832.251,-3846.557,-3834.755,-3836.364,-3838.599,-3835.738,0.001,1.020,0.088,-0.671,1.801,0.549,66.667,93.000
-3828.318,-3835.023,-3832.609,-3846.378,-3834.755,-3836.364,-3838.421,-3836.007,0.002,1.021,0.088,-0.610,1.831,0.610,66.667,94.000
-3828.318,-3835.291,-3832.609,-3846.020,-3834.397,-3836.185,-3838.063,-3835.738,0.002,1.021,0.087,-0.702,1.709,0.610,66.667,95.000
-3828.407,-3835.291,-3831.983,-3846.020,-3834.308,-3836.275,-3838.421,-3835.649,0.001,1.021,0.087,-0.732,1.709,0.732,66.667,96.000
-3828.139,-3835.291,-3831.715,-3846.020,-3833.950,-3835.917,-3838.421,-3835.470,0.001,1.021,0.087,-0.793,1.678,0.793,66.667,97.000
-3827.960,-3835.202,-3831.804,-3845.484,-3833.414,-3835.917,-3838.510,-3835.023,0.004,1.024,0.085,-0.793,1.648,0.732,66.667,98.000
-3828.049,-3835.023,-3831.178,-3845.484,-3833.503,-3836.185,-3837.974,-3835.023,0.002,1.020,0.087,-0.824,1.709,0.732,66.667,99.000
-3827.960,-3835.023,-3831.268,-3845.663,-3833.682,-3836.096,-3837.884,-3834.844,0.003,1.019,0.088,-0.824,1.678,0.763,66.667,100.000
-3828.228,-3834.844,-3831.268,-3845.752,-3833.861,-3835.470,-3837.616,-3835.023,0.004,1.019,0.086,-0.732,1.648,0.671,66.667,101.000
-3827.602,-3835.023,-3831.268,-3845.037,-3833.503,-3835.470,-3837.526,-3835.202,0.003,1.019,0.088,-0.702,1.709,0.610,66.667,102.000
-3827.692,-3834.397,-3831.000,-3845.394,-3833.503,-3835.381,-3837.974,-3835.113,0.005,1.019,0.088,-0.641,1.740,0.549,66.667,103.000
-3827.424,-3834.487,-3831.536,-3845.752,-3833.682,-3835.291,-3837.884,-3834.755,0.002,1.020,0.089,-0.702,1.801,0.519,66.667,104.000
-3827.513,-3834.666,-3831.178,-3845.484,-3833.414,-3835.023,-3837.526,-3834.487,0.002,1.020,0.091,-0.732,1.709,0.458,66.667,105.000
-3827.513,-3834.129,-3831.089,-3844.947,-3833.235,-3835.023,-3837.079,-3834.040,0.004,1.018,0.088,-0.610,1.831,0.427,66.667,106.000
-3826.977,-3834.308,-3831.000,-3845.037,-3833.235,-3835.470,-3837.079,-3834.308,0.004,1.019,0.087,-0.610,1.892,0.458,66.667,107.000
-3826.977,-3834.308,-3831.000,-3844.679,-3832.698,-3835.381,-3837.258,-3834.308,0.004,1.019,0.089,-0.549,1.923,0.488,66.667,108.000
-3827.155,-3834.129,-3831.268,-3845.305,-3833.146,-3835.202,-3837.526,-3834.308,0.003,1.020,0.089,-0.580,1.831,0.458,66.667,109.000
-3827.513,-3834.308,-3831.268,-3845.037,-3833.414,-3835.202,-3837.348,-3834.576,0.003,1.021,0.089,-0.488,1.770,0.397,66.667,110.000
-3827.155,-3833.771,-3830.821,-3845.037,-3832.967,-3834.844,-3837.169,-3834.397,0.002,1.020,0.088,-0.458,1.801,0.427,66.667,111.000
-3827.245,-3833.771,-3831.089,-3844.858,-3833.056,-3834.844,-3837.169,-3834.308,0.001,1.022,0.088,-0.458,1.740,0.366,66.667,112.000
-3827.334,-3833.950,-3830.731,-3844.858,-3832.877,-3834.308,-3836.901,-3834.040,0.001,1.020,0.086,-0.458,1.740,0.397,66.667,113.000
-3827.424,-3833.950,-3830.731,-3844.769,-3833.235,-3834.576,-3836.990,-3834.397,0.002,1.022,0.087,-0.397,1.831,0.397,66.667,114.000
-3827.424,-3834.040,-3830.642,-3844.590,-3832.609,-3835.023,-3836.901,-3834.397,0.004,1.020,0.084,-0.427,1.831,0.458,66.667,115.000
-3826.798,-3834.308,-3830.195,-3844.322,-3832.520,-3834.755,-3836.811,-3833.861,0.004,1.021,0.083,-0.458,1.831,0.366,66.667,116.000
