collect.....= UnicornPy_2020.05.30.0
device......= UN-2019.05.51
samplerate..= 250.000
channels....= 16
date........= 2020-06-24T11:05:15.097741
filename....= Raw\example626
FZ, C3, CZ, C4, PZ, O1, OZ, O2, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, Battery, Sample
-111.669,-122.935,-105.768,-131.607,-71.794,-114.620,-132.144,-113.457,0.557,0.770,0.434,-0.549,1.678,0.671,73.333,67.000
-111.491,-122.666,-105.590,-131.071,-71.704,-114.530,-131.786,-113.010,0.557,0.770,0.436,-0.549,1.801,0.610,73.333,68.000
-111.222,-122.309,-105.500,-130.892,-71.704,-114.262,-131.339,-112.921,0.556,0.768,0.438,-0.549,1.831,0.549,73.333,69.000
-110.596,-121.772,-105.232,-130.802,-71.436,-113.815,-130.624,-112.474,0.555,0.771,0.435,-0.488,1.709,0.397,73.333,70.000
-110.149,-121.683,-104.964,-130.355,-71.436,-113.636,-130.177,-112.295,0.554,0.770,0.433,-0.458,1.740,0.458,73.333,71.000
-109.881,-121.504,-104.606,-129.819,-71.168,-113.368,-129.998,-111.938,0.552,0.771,0.434,-0.397,1.770,0.397,73.333,72.000
-109.702,-121.236,-104.606,-129.551,-71.079,-113.189,-129.551,-111.759,0.552,0.770,0.434,-0.458,1.801,0.397,73.333,73.000
-109.434,-120.610,-104.338,-129.193,-70.989,-112.832,-128.835,-111.491,0.553,0.770,0.434,-0.458,1.709,0.549,73.333,74.000
-109.077,-120.521,-104.070,-128.925,-70.989,-112.832,-128.478,-111.401,0.553,0.771,0.434,-0.610,1.770,0.580,73.333,75.000
-108.987,-120.521,-103.980,-128.567,-70.989,-112.563,-128.388,-111.222,0.554,0.770,0.437,-0.671,1.740,0.671,73.333,76.000
-108.719,-120.163,-103.712,-128.388,-70.810,-112.295,-127.941,-111.043,0.554,0.770,0.436,-0.641,1.740,0.641,73.333,77.000
-108.182,-119.805,-103.623,-128.120,-70.810,-111.938,-127.405,-110.775,0.554,0.770,0.438,-0.702,1.770,0.641,73.333,78.000
-108.093,-119.627,-103.176,-127.941,-70.721,-111.848,-127.226,-110.686,0.555,0.769,0.435,-0.641,1.709,0.580,73.333,79.000
-107.914,-119.448,-103.176,-127.763,-70.632,-111.759,-126.958,-110.507,0.555,0.770,0.434,-0.580,1.740,0.580,73.333,80.000
-107.467,-119.448,-103.176,-127.494,-70.632,-111.759,-126.600,-110.149,0.556,0.768,0.435,-0.580,1.801,0.549,73.333,81.000
-107.378,-119.090,-102.997,-127.226,-70.632,-111.491,-126.421,-109.971,0.554,0.770,0.435,-0.580,1.801,0.366,73.333,82.000
-107.378,-118.911,-102.729,-127.047,-70.632,-111.312,-126.243,-109.792,0.554,0.771,0.433,-0.519,1.740,0.458,73.333,83.000
-107.199,-118.732,-102.550,-127.047,-70.632,-111.043,-125.974,-109.702,0.555,0.771,0.433,-0.519,1.678,0.488,73.333,84.000
-106.931,-118.643,-102.550,-126.869,-70.542,-111.043,-125.706,-109.524,0.555,0.770,0.436,-0.549,1.740,0.519,73.333,85.000
